name;power_capacity (MW);energy_capacity (MWh)
Nuclear;2049;
Lignite;0;
Hard Coal;0;
Gas ;2839;
Oil;0;
Others non-renewable;4386;
Hydro - Pondage (Turbine);266;3700
Hydro - Run of River (Turbine);3930;
Hydro - Reservoir (Turbine);15180;16064673
Hydro - Pump Storage Open Loop (Turbine);8063;7781760
Hydro - Pump Storage Closed Loop (Turbine);6158;101221
Hydro - Pump Storage Open Loop (Pumping);-7550;7781760
Hydro - Pump Storage Closed Loop (Pumping);-6059;101221
Wind Onshore;63134;
Wind Offshore;3190;
Solar (Thermal);4186;
Solar (Photovoltaic);93646;
Biofuel;0;
Others renewable;2892;
Batteries (Injection);5500;11000
Batteries (Offtake);5500;11000
Demand Side Response capacity;2700;
Electrolyser;-12750;
