name;power_capacity (MW);energy_capacity (MWh)
Nuclear;11277;
Lignite;0;
Hard Coal;385;
Gas ;2743;
Oil;762;
Others non-renewable;656;
Hydro - Pondage (Turbine);0;0
Hydro - Run of River (Turbine);5682;
Hydro - Reservoir (Turbine);34235;109336116
Hydro - Pump Storage Open Loop (Turbine);245;15452782
Hydro - Pump Storage Closed Loop (Turbine);0;0
Hydro - Pump Storage Open Loop (Pumping);-299;15452782
Hydro - Pump Storage Closed Loop (Pumping);0;0
Wind Onshore;60604;
Wind Offshore;14499;
Solar (Thermal);0;
Solar (Photovoltaic);39741;
Biofuel;2954;
Others renewable;7083;
Batteries (Injection);1415;4765
Batteries (Offtake);1415;4765
Demand Side Response capacity;15948;
Electrolyser;-20498;
