name;power_capacity (MW);energy_capacity (MWh)
Nuclear;0;
Lignite;0;
Hard Coal;0;
Gas ;35085;
Oil;1045;
Others non-renewable;5168;
Hydro - Pondage (Turbine);0;0
Hydro - Run of River (Turbine);3934;
Hydro - Reservoir (Turbine);819;237217
Hydro - Pump Storage Open Loop (Turbine);2144;438159
Hydro - Pump Storage Closed Loop (Turbine);7010;276150
Hydro - Pump Storage Open Loop (Pumping);-1861;438159
Hydro - Pump Storage Closed Loop (Pumping);-7167;276150
Wind Onshore;133516;
Wind Offshore;42185;
Solar (Thermal);0;
Solar (Photovoltaic);270887;
Biofuel;0;
Others renewable;10356;
Batteries (Injection);11986;105732
Batteries (Offtake);11986;105732
Demand Side Response capacity;5961;
Electrolyser;-18472;
