name;power_capacity (MW);energy_capacity (MWh)
Nuclear;0;
Lignite;0;
Hard Coal;0;
Gas ;35504;
Oil;1885;
Others non-renewable;7280;
Hydro - Pondage (Turbine);0;0
Hydro - Run of River (Turbine);3934;
Hydro - Reservoir (Turbine);819;237217
Hydro - Pump Storage Open Loop (Turbine);2144;438159
Hydro - Pump Storage Closed Loop (Turbine);7010;276150
Hydro - Pump Storage Open Loop (Pumping);-1861;438159
Hydro - Pump Storage Closed Loop (Pumping);-7167;276150
Wind Onshore;115001;
Wind Offshore;30185;
Solar (Thermal);0;
Solar (Photovoltaic);215002;
Biofuel;0;
Others renewable;13068;
Batteries (Injection);3200;56939
Batteries (Offtake);3200;56939
Demand Side Response capacity;5019;
Electrolyser;-12788;
